fy|changwad_area_name|min_name|agc_name|plan_name|output_name|objc|budget
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานยุทธศาสตร์พัฒนาระบบการเตรียมพร้อมแห่งชาติและระบบบริหารจัดการภัยพิบัติ|รายจ่ายงบกลาง : ค่าใช้จ่ายชดใช้เงินทดรองราชการเพื่อช่วยเหลือผู้ประสบภัยพิบัติกรณีฉุกเฉิน|งบรายจ่ายอื่น|2000000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานพื้นฐานด้านความมั่นคง|รายจ่ายงบกลาง : ค่าใช้จ่ายเกี่ยวกับการเสด็จพระราชดำเนินและต้อนรับประมุขต่างประเทศ|งบดำเนินงาน|800000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานยุทธศาสตร์เสริมสร้างพลังทางสังคม|รายจ่ายงบกลาง : ค่าใช้จ่ายตามโครงการอันเนื่องมาจากพระราชดำริ|งบรายจ่ายอื่น|300000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานยุทธศาสตร์เสริมสร้างพลังทางสังคม|รายจ่ายงบกลาง : ค่าใช้จ่ายตามโครงการอันเนื่องมาจากพระราชดำริ|งบลงทุน|2000000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานยุทธศาสตร์สร้างหลักประกันทางสังคม|รายจ่ายงบกลาง : ค่าใช้จ่ายในการรักษาพยาบาลข้าราชการ  ลูกจ้าง และพนักงานของรัฐ|งบดำเนินงาน|76000000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|รายจ่ายงบกลาง : เงินเบี้ยหวัด บำเหน็จ บำนาญ|งบอุดหนุน|322790000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|รายจ่ายงบกลาง : เงินช่วยเหลือข้าราชการ ลูกจ้าง และพนักงานของรัฐ|งบดำเนินงาน|4200000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|รายจ่ายงบกลาง : เงินเลื่อนเงินเดือนและเงินปรับวุฒิข้าราชการ|งบบุคลากร|10000000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|รายจ่ายงบกลาง : เงินสำรอง เงินสมทบ และเงินชดเชยของข้าราชการ|งบอุดหนุน|75980000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|รายจ่ายงบกลาง : เงินสมทบของลูกจ้างประจำ|งบอุดหนุน|500000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานบริหารเพื่อรองรับกรณีฉุกเฉินหรือจำเป็น|รายจ่ายงบกลาง : เงินชดเชยค่างานสิ่งก่อสร้าง|งบลงทุน|500000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานบริหารเพื่อรองรับกรณีฉุกเฉินหรือจำเป็น|รายจ่ายงบกลาง : เงินสำรองจ่ายเพื่อกรณีฉุกเฉินหรือจำเป็น|งบดำเนินงาน|9240000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานบริหารเพื่อรองรับกรณีฉุกเฉินหรือจำเป็น|รายจ่ายงบกลาง : เงินสำรองจ่ายเพื่อกรณีฉุกเฉินหรือจำเป็น|งบลงทุน|27720000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานบริหารเพื่อรองรับกรณีฉุกเฉินหรือจำเป็น|รายจ่ายงบกลาง : เงินสำรองจ่ายเพื่อกรณีฉุกเฉินหรือจำเป็น|งบลงทุน|27720000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานบริหารเพื่อรองรับกรณีฉุกเฉินหรือจำเป็น|รายจ่ายงบกลาง : เงินสำรองจ่ายเพื่อกรณีฉุกเฉินหรือจำเป็น|งบรายจ่ายอื่น|27720000000
66|ส่วนกลาง|งบกลาง|งบกลาง|แผนงานบริหารเพื่อรองรับกรณีฉุกเฉินหรือจำเป็น|รายจ่ายงบกลาง : ค่าใช้จ่ายในการบรรเทา แก้ไขปัญหา และเยียวยา ผู้ที่ได้รับผลกระทบจากการระบาดของโรคติดเชื้อไวรัสโคโรนา 2019|งบรายจ่ายอื่น|3000000000
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|ผลผลิต : แผนและยุทธศาสตร์เพื่อขับเคลื่อนการพัฒนาประเทศ|งบดำเนินงาน|1073100
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|ผลผลิต : แผนและยุทธศาสตร์เพื่อขับเคลื่อนการพัฒนาประเทศ|งบดำเนินงาน|50000
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|ผลผลิต : แผนและยุทธศาสตร์เพื่อขับเคลื่อนการพัฒนาประเทศ|งบดำเนินงาน|10000
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|ผลผลิต : แผนและยุทธศาสตร์เพื่อขับเคลื่อนการพัฒนาประเทศ|งบลงทุน|335000
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ|แผนงานพื้นฐานด้านการปรับสมดุลและพัฒนาระบบการบริหารจัดการภาครัฐ|ผลผลิต : แผนและยุทธศาสตร์เพื่อขับเคลื่อนการพัฒนาประเทศ|งบดำเนินงาน|192400
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานพัฒนาพิงคนคร (องค์การมหาชน)|แผนงานบุคลากรภาครัฐ|ผลผลิต : รายการค่าใช้จ่ายบุคลากรภาครัฐ สร้างรายได้จากการท่องเที่ยวและบริการ|งบอุดหนุน|78881300
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานคณะกรรมการส่งเสริมการลงทุน|แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน|ผลผลิต : การลงทุนที่ได้รับการส่งเสริม|งบดำเนินงาน|236100
66|จังหวัดเชียงใหม่|สำนักนายกรัฐมนตรี|สำนักงานส่งเสริมเศรษฐกิจสร้างสรรค์ (องค์การมหาชน)|แผนงานยุทธศาสตร์พัฒนาพื้นที่และเมืองน่าอยู่อัจฉริยะ|โครงการ : โครงการพัฒนาศักยภาพเศรษฐกิจสร้างสรรค์ในเขตเศรษฐกิจสร้างสรรค์ภาคเหนือด้วยการท่องเที่ยวและการสร้างมูลค่าเพิ่มจากวัฒนธรรมล้านนา (Northern Creative Economic Corridor : NCEC)|งบอุดหนุน|8795000
66|จังหวัดเชียงใหม่|กระทรวงกลาโหม|กองทัพอากาศ|แผนงานยุทธศาสตร์พัฒนาศักยภาพการป้องกันประเทศ และความพร้อมเผชิญภัยคุกคามทุกมิติ|โครงการ : โครงการพัฒนาศักยภาพด้านการพัฒนาประเทศและการช่วยเหลือประชาชน|งบลงทุน|9000000
66|จังหวัดเชียงใหม่|กระทรวงกลาโหม|กองทัพอากาศ|แผนงานพื้นฐานด้านความมั่นคง|ผลผลิต : การดำรงสภาพความพร้อมในการป้องกันประเทศ|งบลงทุน|58881700
66|จังหวัดเชียงใหม่|กระทรวงกลาโหม|กองบัญชาการกองทัพไทย|แผนงานยุทธศาสตร์พัฒนาศักยภาพการป้องกันประเทศ และความพร้อมเผชิญภัยคุกคามทุกมิติ|โครงการ : โครงการพัฒนาศักยภาพด้านการพัฒนาประเทศและการช่วยเหลือประชาชน|งบลงทุน|71726400
66|จังหวัดเชียงใหม่|กระทรวงการคลัง|กรมบัญชีกลาง|แผนงานยุทธศาสตร์พัฒนาบริการประชาชนและการพัฒนาประสิทธิภาพภาครัฐ|ผลผลิต : การบริหารและกำกับดูแลด้านรายจ่ายภาครัฐ|งบลงทุน|367300
66|จังหวัดเชียงใหม่|กระทรวงการท่องเที่ยวและกีฬา|สำนักงานปลัดกระทรวงการท่องเที่ยวและกีฬา|แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์|ผลผลิต : นโยบาย แผน และงานด้านการกีฬา|งบลงทุน|370000
66|จังหวัดเชียงใหม่|กระทรวงการท่องเที่ยวและกีฬา|สำนักงานปลัดกระทรวงการท่องเที่ยวและกีฬา|แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์|ผลผลิต : นโยบาย แผน และงานด้านการกีฬา|งบดำเนินงาน|212700
66|จังหวัดเชียงใหม่|กระทรวงการท่องเที่ยวและกีฬา|กรมการท่องเที่ยว|แผนงานพื้นฐานด้านการสร้างความสามารถในการแข่งขัน|ผลผลิต : การให้บริการด้านการอำนวยความสะดวกและความปลอดภัย|งบลงทุน|9653400
66|จังหวัดเชียงใหม่|กระทรวงการท่องเที่ยวและกีฬา|มหาวิทยาลัยการกีฬาแห่งชาติ|แผนงานยุทธศาสตร์เสริมสร้างศักยภาพการกีฬา|โครงการ : โครงการพัฒนาศักยภาพนักกีฬาสู่ความเป็นเลิศ|งบลงทุน|3625000
66|จังหวัดเชียงใหม่|กระทรวงการท่องเที่ยวและกีฬา|มหาวิทยาลัยการกีฬาแห่งชาติ|แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์|ผลผลิต : ผู้สำเร็จการศึกษาด้านพลศึกษา กีฬา นันทนาการ วิทยาศาสตร์การกีฬา และวิทยาศาสตร์สุขภาพ|งบลงทุน|23156000
66|จังหวัดเชียงใหม่|กระทรวงการท่องเที่ยวและกีฬา|มหาวิทยาลัยการกีฬาแห่งชาติ|แผนงานพื้นฐานด้านการพัฒนาและเสริมสร้างศักยภาพทรัพยากรมนุษย์|ผลผลิต : ผู้สำเร็จการศึกษาด้านพลศึกษา กีฬา นันทนาการ วิทยาศาสตร์การกีฬา และวิทยาศาสตร์สุขภาพ|งบลงทุน|2739100
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมพัฒนาสังคมและสวัสดิการ|แผนงานยุทธศาสตร์มาตรการแบบเจาะจงกลุ่มเป้าหมายเพื่อแก้ปัญหาเฉพาะกลุ่ม|โครงการ : โครงการส่งเสริมและพัฒนาคุณภาพชีวิตประชากรกลุ่มเป้าหมายพิเศษในพื้นที่|งบลงทุน|495000
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมพัฒนาสังคมและสวัสดิการ|แผนงานยุทธศาสตร์มาตรการแบบเจาะจงกลุ่มเป้าหมายเพื่อแก้ปัญหาเฉพาะกลุ่ม|โครงการ : โครงการส่งเสริมและพัฒนาคุณภาพชีวิตประชากรกลุ่มเป้าหมายพิเศษในพื้นที่|งบลงทุน|73500
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมกิจการเด็กและเยาวชน|แผนงานยุทธศาสตร์มาตรการแบบเจาะจงกลุ่มเป้าหมายเพื่อแก้ปัญหาเฉพาะกลุ่ม|โครงการ : โครงการเด็กและเยาวชนได้รับการคุ้มครองและสวัสดิการตามมาตรการคุ้มครองทางสังคม|งบลงทุน|117800
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมกิจการเด็กและเยาวชน|แผนงานยุทธศาสตร์มาตรการแบบเจาะจงกลุ่มเป้าหมายเพื่อแก้ปัญหาเฉพาะกลุ่ม|โครงการ : โครงการเด็กและเยาวชนได้รับการคุ้มครองและสวัสดิการตามมาตรการคุ้มครองทางสังคม|งบลงทุน|29900
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ|แผนงานยุทธศาสตร์พัฒนาศักยภาพคนตลอดช่วงชีวิต|โครงการ : โครงการส่งเสริมศักยภาพและพัฒนาอาชีพคนพิการ|งบลงทุน|54000
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ|แผนงานยุทธศาสตร์พัฒนาศักยภาพคนตลอดช่วงชีวิต|โครงการ : โครงการส่งเสริมศักยภาพและพัฒนาอาชีพคนพิการ|งบลงทุน|400000
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมกิจการผู้สูงอายุ|แผนงานบูรณาการเตรียมความพร้อมเพื่อรองรับสังคมสูงวัย|โครงการ : โครงการพัฒนาระบบการคุ้มครองทางสังคมของผู้สูงอายุ|งบอุดหนุน|898000
66|จังหวัดเชียงใหม่|กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|กรมกิจการผู้สูงอายุ|แผนงานยุทธศาสตร์มาตรการแบบเจาะจงกลุ่มเป้าหมายเพื่อแก้ปัญหาเฉพาะกลุ่ม|โครงการ : โครงการส่งเสริมให้ผู้สูงอายุเข้าถึงหลักประกันทางสังคม|งบลงทุน|224000
66|จังหวัดเชียงใหม่|กระทรวงเกษตรและสหกรณ์|กรมชลประทาน|แผนงานบูรณาการบริหารจัดการทรัพยากรน้ำ|โครงการ : โครงการเพิ่มปริมาณน้ำในอ่างเก็บน้ำเขื่อนแม่กวงอุดมธารา จังหวัดเชียงใหม่|งบลงทุน|813254600
66|จังหวัดเชียงใหม่|กระทรวงเกษตรและสหกรณ์|กรมชลประทาน|แผนงานบูรณาการบริหารจัดการทรัพยากรน้ำ|โครงการ : โครงการจัดหาแหล่งน้ำและเพิ่มพื้นที่ชลประทาน|งบลงทุน|496280700
66|จังหวัดเชียงใหม่|กระทรวงเกษตรและสหกรณ์|กรมชลประทาน|แผนงานบูรณาการบริหารจัดการทรัพยากรน้ำ|โครงการ : โครงการป้องกันและบรรเทาภัยจากน้ำ|งบลงทุน|40409400
